fake_data,real_data,dates,,Grand Total
07/02/10,2-Jun-10,2-Jul-10,Vrijdag,3665
07/04/10,3-Jun-10,4-Jul-10,Zondag,2258
07/05/10,4-Jun-10,5-Jul-10,Maandag,3796
07/06/10,5-Jun-10,6-Jul-10,Dinsdag,3610
07/07/10,6-Jun-10,7-Jul-10,Woensdag,2802
07/08/10,7-Jun-10,8-Jul-10,Donderdag,2900
07/09/10,8-Jun-10,9-Jul-10,Vrijdag,3406
07/11/10,9-Jun-10,11-Jul-10,Zondag,1960
07/12/10,10-Jun-10,12-Jul-10,Maandag,3236
07/13/10,11-Jun-10,13-Jul-10,Dinsdag,3036
07/14/10,12-Jun-10,14-Jul-10,Woensdag,3632
07/15/10,13-Jun-10,15-Jul-10,Donderdag,3253
07/16/10,14-Jun-10,16-Jul-10,Vrijdag,3459
07/18/10,15-Jun-10,18-Jul-10,Zondag,1756
07/19/10,16-Jun-10,19-Jul-10,Maandag,3051
07/20/10,17-Jun-10,20-Jul-10,Dinsdag,2609
07/21/10,18-Jun-10,21-Jul-10,Woensdag,3211
07/22/10,19-Jun-10,22-Jul-10,Donderdag,3003
07/23/10,20-Jun-10,23-Jul-10,Vrijdag,3570
07/25/10,21-Jun-10,25-Jul-10,Zondag,3189
07/26/10,22-Jun-10,26-Jul-10,Maandag,3952
07/27/10,23-Jun-10,27-Jul-10,Dinsdag,3519
07/28/10,24-Jun-10,28-Jul-10,Woensdag,3573
07/29/10,25-Jun-10,29-Jul-10,Donderdag,3251
07/30/10,26-Jun-10,30-Jul-10,Vrijdag,3457
08/01/10,27-Jun-10,1-Aug-10,Zondag,2443
08/02/10,28-Jun-10,2-Aug-10,Maandag,3338
08/03/10,29-Jun-10,3-Aug-10,Dinsdag,2889
08/04/10,30-Jun-10,4-Aug-10,Woensdag,3268
08/05/10,1-Jul-10,5-Aug-10,Donderdag,2926
08/06/10,2-Jul-10,6-Aug-10,Vrijdag,3245
08/08/10,3-Jul-10,8-Aug-10,Zondag,2507
08/09/10,4-Jul-10,9-Aug-10,Maandag,2856
08/10/10,5-Jul-10,10-Aug-10,Dinsdag,3193
08/11/10,6-Jul-10,11-Aug-10,Woensdag,3872
08/12/10,7-Jul-10,12-Aug-10,Donderdag,3534
08/13/10,8-Jul-10,13-Aug-10,Vrijdag,4125
08/15/10,9-Jul-10,15-Aug-10,Zondag,3008
08/16/10,10-Jul-10,16-Aug-10,Maandag,3765
08/17/10,11-Jul-10,17-Aug-10,Dinsdag,3575
08/18/10,12-Jul-10,18-Aug-10,Woensdag,3635
08/19/10,13-Jul-10,19-Aug-10,Donderdag,4724
08/20/10,14-Jul-10,20-Aug-10,Vrijdag,3538
08/22/10,15-Jul-10,22-Aug-10,Zondag,3092
08/23/10,16-Jul-10,23-Aug-10,Maandag,3977
08/24/10,17-Jul-10,24-Aug-10,Dinsdag,3595
08/25/10,18-Jul-10,25-Aug-10,Woensdag,3839
08/26/10,19-Jul-10,26-Aug-10,Donderdag,4922
08/27/10,20-Jul-10,27-Aug-10,Vrijdag,5054
08/29/10,21-Jul-10,29-Aug-10,Zondag,3127
08/30/10,22-Jul-10,30-Aug-10,Maandag,4556
08/31/10,23-Jul-10,31-Aug-10,Dinsdag,3855
09/01/10,24-Jul-10,1-Sep-10,Woensdag,3791
09/02/10,25-Jul-10,2-Sep-10,Donderdag,3628
09/03/10,26-Jul-10,3-Sep-10,Vrijdag,3624
09/05/10,27-Jul-10,5-Sep-10,Zondag,2241
09/06/10,28-Jul-10,6-Sep-10,Maandag,4842
09/07/10,29-Jul-10,7-Sep-10,Dinsdag,4633
09/08/10,30-Jul-10,8-Sep-10,Woensdag,4637
09/09/10,31-Jul-10,9-Sep-10,Donderdag,3637
09/10/10,1-Aug-10,10-Sep-10,Vrijdag,4379
09/12/10,2-Aug-10,12-Sep-10,Zondag,2746
09/13/10,3-Aug-10,13-Sep-10,Maandag,4168
09/14/10,4-Aug-10,14-Sep-10,Dinsdag,3626
09/15/10,5-Aug-10,15-Sep-10,Woensdag,4167
09/16/10,6-Aug-10,16-Sep-10,Donderdag,4124
09/17/10,7-Aug-10,17-Sep-10,Vrijdag,4456
09/19/10,8-Aug-10,19-Sep-10,Zondag,2801
09/20/10,9-Aug-10,20-Sep-10,Maandag,4042
09/21/10,10-Aug-10,21-Sep-10,Dinsdag,3538
09/22/10,11-Aug-10,22-Sep-10,Woensdag,3563
09/23/10,12-Aug-10,23-Sep-10,Donderdag,3972
09/24/10,13-Aug-10,24-Sep-10,Vrijdag,4946
09/26/10,14-Aug-10,26-Sep-10,Zondag,2716
09/27/10,15-Aug-10,27-Sep-10,Maandag,4701
09/28/10,16-Aug-10,28-Sep-10,Dinsdag,4027
09/29/10,17-Aug-10,29-Sep-10,Woensdag,4123
09/30/10,18-Aug-10,30-Sep-10,Donderdag,5068
10/01/10,19-Aug-10,1-Oct-10,Vrijdag,5055
10/03/10,20-Aug-10,3-Oct-10,Zondag,2829
10/04/10,21-Aug-10,4-Oct-10,Maandag,3873
10/05/10,22-Aug-10,5-Oct-10,Dinsdag,3219
10/06/10,23-Aug-10,6-Oct-10,Woensdag,4171
10/07/10,24-Aug-10,7-Oct-10,Donderdag,3480
10/08/10,25-Aug-10,8-Oct-10,Vrijdag,3975
10/10/10,26-Aug-10,10-Oct-10,Zondag,2543
10/11/10,27-Aug-10,11-Oct-10,Maandag,3680
10/12/10,28-Aug-10,12-Oct-10,Dinsdag,4458
10/13/10,29-Aug-10,13-Oct-10,Woensdag,4025
10/14/10,30-Aug-10,14-Oct-10,Donderdag,4286
10/15/10,31-Aug-10,15-Oct-10,Vrijdag,5236
10/17/10,1-Sep-10,17-Oct-10,Zondag,2828
10/18/10,2-Sep-10,18-Oct-10,Maandag,3941
10/19/10,3-Sep-10,19-Oct-10,Dinsdag,3674
