fake_data,real_data,dates,,Grand Total
12/13/12,2-Jul-12,13-Dec-12,Donderdag,27995
12/14/12,3-Jul-12,14-Dec-12,Vrijdag,28188
12/15/12,4-Jul-12,15-Dec-12,Zaterdag,1
12/16/12,5-Jul-12,16-Dec-12,Zondag,41693
12/17/12,6-Jul-12,17-Dec-12,Maandag,18450
12/18/12,7-Jul-12,18-Dec-12,Dinsdag,38356
12/19/12,8-Jul-12,19-Dec-12,Woensdag,37206
12/20/12,9-Jul-12,20-Dec-12,Donderdag,36582
12/21/12,10-Jul-12,21-Dec-12,Vrijdag,32720
12/23/12,11-Jul-12,23-Dec-12,Zondag,24634
12/24/12,12-Jul-12,24-Dec-12,Maandag,7973
12/27/12,13-Jul-12,27-Dec-12,Donderdag,11326
12/28/12,14-Jul-12,28-Dec-12,Vrijdag,12523
12/30/12,15-Jul-12,30-Dec-12,Zondag,11090
12/31/12,16-Jul-12,31-Dec-12,Maandag,5311
01/02/13,17-Jul-12,2-Jan-13,Woensdag,8610
01/03/13,18-Jul-12,3-Jan-13,Donderdag,8706
01/04/13,19-Jul-12,4-Jan-13,Vrijdag,9643
01/06/13,20-Jul-12,6-Jan-13,Zondag,4949
01/07/13,21-Jul-12,7-Jan-13,Maandag,91
01/08/13,22-Jul-12,8-Jan-13,Dinsdag,5946
01/09/13,23-Jul-12,9-Jan-13,Woensdag,8274
01/10/13,24-Jul-12,10-Jan-13,Donderdag,8617
01/11/13,25-Jul-12,11-Jan-13,Vrijdag,5839
01/13/13,26-Jul-12,13-Jan-13,Zondag,7156
01/14/13,27-Jul-12,14-Jan-13,Maandag,9027
01/15/13,28-Jul-12,15-Jan-13,Dinsdag,11557
01/16/13,29-Jul-12,16-Jan-13,Woensdag,10027
01/17/13,30-Jul-12,17-Jan-13,Donderdag,7840
01/18/13,31-Jul-12,18-Jan-13,Vrijdag,8575
01/20/13,1-Aug-12,20-Jan-13,Zondag,6810
01/21/13,2-Aug-12,21-Jan-13,Maandag,8368
01/22/13,3-Aug-12,22-Jan-13,Dinsdag,28
01/23/13,4-Aug-12,23-Jan-13,Woensdag,8550
01/24/13,5-Aug-12,24-Jan-13,Donderdag,10145
01/25/13,6-Aug-12,25-Jan-13,Vrijdag,10692
01/27/13,7-Aug-12,27-Jan-13,Zondag,8647
01/28/13,8-Aug-12,28-Jan-13,Maandag,9426
01/29/13,9-Aug-12,29-Jan-13,Dinsdag,11600
01/30/13,10-Aug-12,30-Jan-13,Woensdag,9887
01/31/13,11-Aug-12,31-Jan-13,Donderdag,267
02/01/13,12-Aug-12,1-Feb-13,Vrijdag,9655
02/03/13,13-Aug-12,3-Feb-13,Zondag,7322
02/04/13,14-Aug-12,4-Feb-13,Maandag,9386
02/05/13,15-Aug-12,5-Feb-13,Dinsdag,8846
02/06/13,16-Aug-12,6-Feb-13,Woensdag,9118
02/07/13,17-Aug-12,7-Feb-13,Donderdag,8860
02/08/13,18-Aug-12,8-Feb-13,Vrijdag,9073
02/10/13,19-Aug-12,10-Feb-13,Zondag,6708
02/11/13,20-Aug-12,11-Feb-13,Maandag,10649
02/12/13,21-Aug-12,12-Feb-13,Dinsdag,13806
02/13/13,22-Aug-12,13-Feb-13,Woensdag,40294
02/14/13,23-Aug-12,14-Feb-13,Donderdag,10454
02/15/13,24-Aug-12,15-Feb-13,Vrijdag,2575
02/17/13,25-Aug-12,17-Feb-13,Zondag,15
02/18/13,26-Aug-12,18-Feb-13,Maandag,202
02/19/13,27-Aug-12,19-Feb-13,Dinsdag,6280
02/20/13,28-Aug-12,20-Feb-13,Woensdag,9524
02/21/13,29-Aug-12,21-Feb-13,Donderdag,8828
02/22/13,30-Aug-12,22-Feb-13,Vrijdag,9563
02/24/13,31-Aug-12,24-Feb-13,Zondag,8038
02/25/13,1-Sep-12,25-Feb-13,Maandag,8652
02/26/13,2-Sep-12,26-Feb-13,Dinsdag,132
02/27/13,3-Sep-12,27-Feb-13,Woensdag,23
02/28/13,4-Sep-12,28-Feb-13,Donderdag,11252
03/01/13,5-Sep-12,1-Mar-13,Vrijdag,1881
03/03/13,6-Sep-12,3-Mar-13,Zondag,8372
03/04/13,7-Sep-12,4-Mar-13,Maandag,10170
03/05/13,8-Sep-12,5-Mar-13,Dinsdag,4218
03/06/13,9-Sep-12,6-Mar-13,Woensdag,80
03/07/13,10-Sep-12,7-Mar-13,Donderdag,8577
03/08/13,11-Sep-12,8-Mar-13,Vrijdag,9485
03/10/13,12-Sep-12,10-Mar-13,Zondag,7844
03/11/13,13-Sep-12,11-Mar-13,Maandag,12859
03/12/13,14-Sep-12,12-Mar-13,Dinsdag,9542
03/13/13,15-Sep-12,13-Mar-13,Woensdag,9684
03/14/13,16-Sep-12,14-Mar-13,Donderdag,8481
03/15/13,17-Sep-12,15-Mar-13,Vrijdag,8960
03/17/13,18-Sep-12,17-Mar-13,Zondag,7972
03/18/13,19-Sep-12,18-Mar-13,Maandag,12056
03/19/13,20-Sep-12,19-Mar-13,Dinsdag,9579
03/20/13,21-Sep-12,20-Mar-13,Woensdag,12747
03/21/13,22-Sep-12,21-Mar-13,Donderdag,10480
03/22/13,23-Sep-12,22-Mar-13,Vrijdag,11109
03/24/13,24-Sep-12,24-Mar-13,Zondag,12928
03/25/13,25-Sep-12,25-Mar-13,Maandag,8246
03/26/13,26-Sep-12,26-Mar-13,Dinsdag,8167
03/27/13,27-Sep-12,27-Mar-13,Woensdag,9005
03/28/13,28-Sep-12,28-Mar-13,Donderdag,9219
03/29/13,29-Sep-12,29-Mar-13,Vrijdag,10642
04/01/13,30-Sep-12,1-Apr-13,Maandag,70
04/02/13,1-Oct-12,2-Apr-13,Dinsdag,48
04/03/13,2-Oct-12,3-Apr-13,Woensdag,301
04/04/13,3-Oct-12,4-Apr-13,Donderdag,31
04/05/13,4-Oct-12,5-Apr-13,Vrijdag,9337
04/07/13,5-Oct-12,7-Apr-13,Zondag,6198
04/08/13,6-Oct-12,8-Apr-13,Maandag,8699
04/09/13,7-Oct-12,9-Apr-13,Dinsdag,93
04/10/13,8-Oct-12,10-Apr-13,Woensdag,73
04/11/13,9-Oct-12,11-Apr-13,Donderdag,921
04/12/13,10-Oct-12,12-Apr-13,Vrijdag,10091
04/14/13,11-Oct-12,14-Apr-13,Zondag,5172
04/15/13,12-Oct-12,15-Apr-13,Maandag,7748
04/16/13,13-Oct-12,16-Apr-13,Dinsdag,7320
04/17/13,14-Oct-12,17-Apr-13,Woensdag,8728
04/18/13,15-Oct-12,18-Apr-13,Donderdag,7683
04/19/13,16-Oct-12,19-Apr-13,Vrijdag,9280
04/21/13,17-Oct-12,21-Apr-13,Zondag,5995
04/22/13,18-Oct-12,22-Apr-13,Maandag,272
04/23/13,19-Oct-12,23-Apr-13,Dinsdag,5963
04/24/13,20-Oct-12,24-Apr-13,Woensdag,7828
04/25/13,21-Oct-12,25-Apr-13,Donderdag,8449
04/26/13,22-Oct-12,26-Apr-13,Vrijdag,2923
04/28/13,23-Oct-12,28-Apr-13,Zondag,2965
04/29/13,24-Oct-12,29-Apr-13,Maandag,6340
05/01/13,25-Oct-12,1-May-13,Woensdag,6492
05/02/13,26-Oct-12,2-May-13,Donderdag,7462
05/03/13,27-Oct-12,3-May-13,Vrijdag,272
05/05/13,28-Oct-12,5-May-13,Zondag,5062
05/06/13,29-Oct-12,6-May-13,Maandag,8626
05/07/13,30-Oct-12,7-May-13,Dinsdag,10150
05/08/13,31-Oct-12,8-May-13,Woensdag,13506
05/10/13,1-Nov-12,10-May-13,Vrijdag,17919
05/12/13,2-Nov-12,12-May-13,Zondag,8716
05/13/13,3-Nov-12,13-May-13,Maandag,9105
05/14/13,4-Nov-12,14-May-13,Dinsdag,8245
05/15/13,5-Nov-12,15-May-13,Woensdag,8406
05/16/13,6-Nov-12,16-May-13,Donderdag,10036
05/17/13,7-Nov-12,17-May-13,Vrijdag,9666
05/20/13,8-Nov-12,20-May-13,Maandag,7771
05/21/13,9-Nov-12,21-May-13,Dinsdag,486
05/22/13,10-Nov-12,22-May-13,Woensdag,2140
05/23/13,11-Nov-12,23-May-13,Donderdag,10234
05/24/13,12-Nov-12,24-May-13,Vrijdag,144
05/26/13,13-Nov-12,26-May-13,Zondag,6856
05/27/13,14-Nov-12,27-May-13,Maandag,9972
05/28/13,15-Nov-12,28-May-13,Dinsdag,8030
05/29/13,16-Nov-12,29-May-13,Woensdag,9132
05/30/13,17-Nov-12,30-May-13,Donderdag,9364
05/31/13,18-Nov-12,31-May-13,Vrijdag,8435
06/02/13,19-Nov-12,2-Jun-13,Zondag,5578
06/03/13,20-Nov-12,3-Jun-13,Maandag,9068
06/04/13,21-Nov-12,4-Jun-13,Dinsdag,7643
06/05/13,22-Nov-12,5-Jun-13,Woensdag,7383
06/06/13,23-Nov-12,6-Jun-13,Donderdag,7038
06/07/13,24-Nov-12,7-Jun-13,Vrijdag,7379
06/09/13,25-Nov-12,9-Jun-13,Zondag,63
06/10/13,26-Nov-12,10-Jun-13,Maandag,5217
06/11/13,27-Nov-12,11-Jun-13,Dinsdag,8452
06/12/13,28-Nov-12,12-Jun-13,Woensdag,10434
06/13/13,29-Nov-12,13-Jun-13,Donderdag,17735
06/14/13,30-Nov-12,14-Jun-13,Vrijdag,14186
06/16/13,1-Dec-12,16-Jun-13,Zondag,49
06/17/13,2-Dec-12,17-Jun-13,Maandag,8544
06/18/13,3-Dec-12,18-Jun-13,Dinsdag,5572
06/19/13,4-Dec-12,19-Jun-13,Woensdag,32
06/20/13,5-Dec-12,20-Jun-13,Donderdag,7000
06/21/13,6-Dec-12,21-Jun-13,Vrijdag,9014
06/23/13,7-Dec-12,23-Jun-13,Zondag,37
06/24/13,8-Dec-12,24-Jun-13,Maandag,8988
06/25/13,9-Dec-12,25-Jun-13,Dinsdag,6049
06/26/13,10-Dec-12,26-Jun-13,Woensdag,230
06/27/13,11-Dec-12,27-Jun-13,Donderdag,18
06/28/13,12-Dec-12,28-Jun-13,Vrijdag,7155
06/30/13,13-Dec-12,30-Jun-13,Zondag,3259
07/01/13,14-Dec-12,1-Jul-13,Maandag,790
07/02/13,15-Dec-12,2-Jul-13,Dinsdag,9278
07/03/13,16-Dec-12,3-Jul-13,Woensdag,72
07/04/13,17-Dec-12,4-Jul-13,Donderdag,49
07/05/13,18-Dec-12,5-Jul-13,Vrijdag,6922
07/07/13,19-Dec-12,7-Jul-13,Zondag,1812
07/08/13,20-Dec-12,8-Jul-13,Maandag,62
07/09/13,21-Dec-12,9-Jul-13,Dinsdag,30
07/10/13,22-Dec-12,10-Jul-13,Woensdag,4368
07/11/13,23-Dec-12,11-Jul-13,Donderdag,8462
07/12/13,24-Dec-12,12-Jul-13,Vrijdag,668
07/14/13,25-Dec-12,14-Jul-13,Zondag,2
07/15/13,26-Dec-12,15-Jul-13,Maandag,50
07/16/13,27-Dec-12,16-Jul-13,Dinsdag,1151
07/17/13,28-Dec-12,17-Jul-13,Woensdag,6719
07/18/13,29-Dec-12,18-Jul-13,Donderdag,4704
07/19/13,30-Dec-12,19-Jul-13,Vrijdag,81
07/21/13,31-Dec-12,21-Jul-13,Zondag,4220
07/22/13,1-Jan-13,22-Jul-13,Maandag,6858
07/23/13,2-Jan-13,23-Jul-13,Dinsdag,7101
07/24/13,3-Jan-13,24-Jul-13,Woensdag,9940
07/25/13,4-Jan-13,25-Jul-13,Donderdag,7518
07/26/13,5-Jan-13,26-Jul-13,Vrijdag,8056
07/28/13,6-Jan-13,28-Jul-13,Zondag,5215
07/29/13,7-Jan-13,29-Jul-13,Maandag,379
07/30/13,8-Jan-13,30-Jul-13,Dinsdag,6593
07/31/13,9-Jan-13,31-Jul-13,Woensdag,8235
08/01/13,10-Jan-13,1-Aug-13,Donderdag,6640
08/02/13,11-Jan-13,2-Aug-13,Vrijdag,7307
08/04/13,12-Jan-13,4-Aug-13,Zondag,5654
08/05/13,13-Jan-13,5-Aug-13,Maandag,3664
08/06/13,14-Jan-13,6-Aug-13,Dinsdag,57
08/07/13,15-Jan-13,7-Aug-13,Woensdag,15
08/08/13,16-Jan-13,8-Aug-13,Donderdag,735
08/09/13,17-Jan-13,9-Aug-13,Vrijdag,7679
08/11/13,18-Jan-13,11-Aug-13,Zondag,5764
08/12/13,19-Jan-13,12-Aug-13,Maandag,10802
08/13/13,20-Jan-13,13-Aug-13,Dinsdag,8410
08/14/13,21-Jan-13,14-Aug-13,Woensdag,7794
08/15/13,22-Jan-13,15-Aug-13,Donderdag,8176
08/16/13,23-Jan-13,16-Aug-13,Vrijdag,8139
08/18/13,24-Jan-13,18-Aug-13,Zondag,3705
08/19/13,25-Jan-13,19-Aug-13,Maandag,113
08/20/13,26-Jan-13,20-Aug-13,Dinsdag,8128
08/21/13,27-Jan-13,21-Aug-13,Woensdag,8035
08/22/13,28-Jan-13,22-Aug-13,Donderdag,8808
08/23/13,29-Jan-13,23-Aug-13,Vrijdag,88
08/25/13,30-Jan-13,25-Aug-13,Zondag,17
08/26/13,31-Jan-13,26-Aug-13,Maandag,36
08/27/13,1-Feb-13,27-Aug-13,Dinsdag,14172
08/28/13,2-Feb-13,28-Aug-13,Woensdag,8235
08/29/13,3-Feb-13,29-Aug-13,Donderdag,389
08/30/13,4-Feb-13,30-Aug-13,Vrijdag,50
09/01/13,5-Feb-13,1-Sep-13,Zondag,143
09/02/13,6-Feb-13,2-Sep-13,Maandag,89
09/03/13,7-Feb-13,3-Sep-13,Dinsdag,3125
09/04/13,8-Feb-13,4-Sep-13,Woensdag,8396
09/05/13,9-Feb-13,5-Sep-13,Donderdag,8096
09/06/13,10-Feb-13,6-Sep-13,Vrijdag,10064
09/08/13,11-Feb-13,8-Sep-13,Zondag,7087
09/09/13,12-Feb-13,9-Sep-13,Maandag,11082
09/10/13,13-Feb-13,10-Sep-13,Dinsdag,4700
09/11/13,14-Feb-13,11-Sep-13,Woensdag,76
09/12/13,15-Feb-13,12-Sep-13,Donderdag,8410
09/13/13,16-Feb-13,13-Sep-13,Vrijdag,8968
09/15/13,17-Feb-13,15-Sep-13,Zondag,7529
09/16/13,18-Feb-13,16-Sep-13,Maandag,12039
09/17/13,19-Feb-13,17-Sep-13,Dinsdag,9004
09/18/13,20-Feb-13,18-Sep-13,Woensdag,8953
09/19/13,21-Feb-13,19-Sep-13,Donderdag,7446
09/20/13,22-Feb-13,20-Sep-13,Vrijdag,9734
09/22/13,23-Feb-13,22-Sep-13,Zondag,7146
09/23/13,24-Feb-13,23-Sep-13,Maandag,9429
09/24/13,25-Feb-13,24-Sep-13,Dinsdag,8757
09/25/13,26-Feb-13,25-Sep-13,Woensdag,8990
09/26/13,27-Feb-13,26-Sep-13,Donderdag,8624
09/27/13,28-Feb-13,27-Sep-13,Vrijdag,9279
09/29/13,1-Mar-13,29-Sep-13,Zondag,7580
09/30/13,2-Mar-13,30-Sep-13,Maandag,11717
10/01/13,3-Mar-13,1-Oct-13,Dinsdag,9720
10/02/13,4-Mar-13,2-Oct-13,Woensdag,10642
10/03/13,5-Mar-13,3-Oct-13,Donderdag,9316
10/04/13,6-Mar-13,4-Oct-13,Vrijdag,8898
10/06/13,7-Mar-13,6-Oct-13,Zondag,7309
10/07/13,8-Mar-13,7-Oct-13,Maandag,10388
10/08/13,9-Mar-13,8-Oct-13,Dinsdag,8908
10/09/13,10-Mar-13,9-Oct-13,Woensdag,9738
10/10/13,11-Mar-13,10-Oct-13,Donderdag,8886
10/11/13,12-Mar-13,11-Oct-13,Vrijdag,9192
10/13/13,13-Mar-13,13-Oct-13,Zondag,8205
10/14/13,14-Mar-13,14-Oct-13,Maandag,10175
10/15/13,15-Mar-13,15-Oct-13,Dinsdag,9068
10/16/13,16-Mar-13,16-Oct-13,Woensdag,8838
10/17/13,17-Mar-13,17-Oct-13,Donderdag,8326
10/18/13,18-Mar-13,18-Oct-13,Vrijdag,8713
10/20/13,19-Mar-13,20-Oct-13,Zondag,6865
10/21/13,20-Mar-13,21-Oct-13,Maandag,11252
10/22/13,21-Mar-13,22-Oct-13,Dinsdag,9084
10/23/13,22-Mar-13,23-Oct-13,Woensdag,9693
10/24/13,23-Mar-13,24-Oct-13,Donderdag,8555
10/25/13,24-Mar-13,25-Oct-13,Vrijdag,9692
10/27/13,25-Mar-13,27-Oct-13,Zondag,8309
10/28/13,26-Mar-13,28-Oct-13,Maandag,11346
10/29/13,27-Mar-13,29-Oct-13,Dinsdag,9746
10/30/13,28-Mar-13,30-Oct-13,Woensdag,10080
10/31/13,29-Mar-13,31-Oct-13,Donderdag,9771
11/01/13,30-Mar-13,1-Nov-13,Vrijdag,9478
11/03/13,31-Mar-13,3-Nov-13,Zondag,7948
11/04/13,1-Apr-13,4-Nov-13,Maandag,10563
11/05/13,2-Apr-13,5-Nov-13,Dinsdag,9320
11/06/13,3-Apr-13,6-Nov-13,Woensdag,9077
11/07/13,4-Apr-13,7-Nov-13,Donderdag,8083
11/08/13,5-Apr-13,8-Nov-13,Vrijdag,9054
11/10/13,6-Apr-13,10-Nov-13,Zondag,8854
11/11/13,7-Apr-13,11-Nov-13,Maandag,8487
11/12/13,8-Apr-13,12-Nov-13,Dinsdag,9649
11/13/13,9-Apr-13,13-Nov-13,Woensdag,9233
11/14/13,10-Apr-13,14-Nov-13,Donderdag,8213
11/15/13,11-Apr-13,15-Nov-13,Vrijdag,8441
11/17/13,12-Apr-13,17-Nov-13,Zondag,7065
11/18/13,13-Apr-13,18-Nov-13,Maandag,11987
11/19/13,14-Apr-13,19-Nov-13,Dinsdag,10101
11/20/13,15-Apr-13,20-Nov-13,Woensdag,10144
11/21/13,16-Apr-13,21-Nov-13,Donderdag,8797
11/22/13,17-Apr-13,22-Nov-13,Vrijdag,8716
11/24/13,18-Apr-13,24-Nov-13,Zondag,7742
11/25/13,19-Apr-13,25-Nov-13,Maandag,13859
11/26/13,20-Apr-13,26-Nov-13,Dinsdag,8556
11/27/13,21-Apr-13,27-Nov-13,Woensdag,9850
11/28/13,22-Apr-13,28-Nov-13,Donderdag,9578
11/29/13,23-Apr-13,29-Nov-13,Vrijdag,9033
12/01/13,24-Apr-13,1-Dec-13,Zondag,10725
12/02/13,25-Apr-13,2-Dec-13,Maandag,12389
12/03/13,26-Apr-13,3-Dec-13,Dinsdag,11841
12/04/13,27-Apr-13,4-Dec-13,Woensdag,18286
12/05/13,28-Apr-13,5-Dec-13,Donderdag,9288
12/06/13,29-Apr-13,6-Dec-13,Vrijdag,9941
12/08/13,30-Apr-13,8-Dec-13,Zondag,15633
12/09/13,1-May-13,9-Dec-13,Maandag,20552
12/10/13,2-May-13,10-Dec-13,Dinsdag,19805
12/11/13,3-May-13,11-Dec-13,Woensdag,29656
12/12/13,4-May-13,12-Dec-13,Donderdag,23410
12/13/13,5-May-13,13-Dec-13,Vrijdag,26050
12/15/13,6-May-13,15-Dec-13,Zondag,44457
12/16/13,7-May-13,16-Dec-13,Maandag,43889
12/17/13,8-May-13,17-Dec-13,Dinsdag,44726
12/18/13,9-May-13,18-Dec-13,Woensdag,46923
12/19/13,10-May-13,19-Dec-13,Donderdag,41264
12/20/13,11-May-13,20-Dec-13,Vrijdag,42594
12/22/13,12-May-13,22-Dec-13,Zondag,43484
12/23/13,13-May-13,23-Dec-13,Maandag,28840
12/24/13,14-May-13,24-Dec-13,Dinsdag,7882
12/25/13,15-May-13,25-Dec-13,Woensdag,527
12/26/13,16-May-13,26-Dec-13,Donderdag,749
12/27/13,17-May-13,27-Dec-13,Vrijdag,12187
12/29/13,18-May-13,29-Dec-13,Zondag,12461
12/30/13,19-May-13,30-Dec-13,Maandag,12821
12/31/13,20-May-13,31-Dec-13,Dinsdag,4588
01/01/14,21-May-13,1-Jan-14,Woensdag,607
01/02/14,22-May-13,2-Jan-14,Donderdag,10420
01/03/14,23-May-13,3-Jan-14,Vrijdag,10975
01/05/14,24-May-13,5-Jan-14,Zondag,1151
01/06/14,25-May-13,6-Jan-14,Maandag,10100
01/07/14,26-May-13,7-Jan-14,Dinsdag,14930
01/08/14,27-May-13,8-Jan-14,Woensdag,8879
01/09/14,28-May-13,9-Jan-14,Donderdag,7695
01/10/14,29-May-13,10-Jan-14,Vrijdag,9023
01/12/14,30-May-13,12-Jan-14,Zondag,1140
01/13/14,31-May-13,13-Jan-14,Maandag,8944
01/14/14,1-Jun-13,14-Jan-14,Dinsdag,9744
01/15/14,2-Jun-13,15-Jan-14,Woensdag,9669
01/16/14,3-Jun-13,16-Jan-14,Donderdag,8183
01/17/14,4-Jun-13,17-Jan-14,Vrijdag,9777
01/19/14,5-Jun-13,19-Jan-14,Zondag,1251
01/20/14,6-Jun-13,20-Jan-14,Maandag,9612
01/21/14,7-Jun-13,21-Jan-14,Dinsdag,10218
01/22/14,8-Jun-13,22-Jan-14,Woensdag,10297
01/23/14,9-Jun-13,23-Jan-14,Donderdag,9324
01/24/14,10-Jun-13,24-Jan-14,Vrijdag,10200
01/26/14,11-Jun-13,26-Jan-14,Zondag,1186
01/27/14,12-Jun-13,27-Jan-14,Maandag,12299
01/28/14,13-Jun-13,28-Jan-14,Dinsdag,10791
01/29/14,14-Jun-13,29-Jan-14,Woensdag,10781
01/30/14,15-Jun-13,30-Jan-14,Donderdag,6931
01/31/14,16-Jun-13,31-Jan-14,Vrijdag,10131
02/02/14,17-Jun-13,2-Feb-14,Zondag,1201
02/03/14,18-Jun-13,3-Feb-14,Maandag,10026
02/04/14,19-Jun-13,4-Feb-14,Dinsdag,10292
02/05/14,20-Jun-13,5-Feb-14,Woensdag,9974
02/06/14,21-Jun-13,6-Feb-14,Donderdag,9375
02/07/14,22-Jun-13,7-Feb-14,Vrijdag,11928
02/09/14,23-Jun-13,9-Feb-14,Zondag,1459
02/10/14,24-Jun-13,10-Feb-14,Maandag,12203
02/11/14,25-Jun-13,11-Feb-14,Dinsdag,11562
02/12/14,26-Jun-13,12-Feb-14,Woensdag,16852
02/13/14,27-Jun-13,13-Feb-14,Donderdag,45940
02/14/14,28-Jun-13,14-Feb-14,Vrijdag,12576
02/16/14,29-Jun-13,16-Feb-14,Zondag,1159
02/17/14,30-Jun-13,17-Feb-14,Maandag,10899
02/18/14,1-Jul-13,18-Feb-14,Dinsdag,10252
02/19/14,2-Jul-13,19-Feb-14,Woensdag,10112
02/20/14,3-Jul-13,20-Feb-14,Donderdag,10771
02/21/14,4-Jul-13,21-Feb-14,Vrijdag,11001
02/23/14,5-Jul-13,23-Feb-14,Zondag,1121
02/24/14,6-Jul-13,24-Feb-14,Maandag,12069
02/25/14,7-Jul-13,25-Feb-14,Dinsdag,11472
02/26/14,8-Jul-13,26-Feb-14,Woensdag,11223
02/27/14,9-Jul-13,27-Feb-14,Donderdag,11711
02/28/14,10-Jul-13,28-Feb-14,Vrijdag,13032
03/02/14,11-Jul-13,2-Mar-14,Zondag,933
03/03/14,12-Jul-13,3-Mar-14,Maandag,13567
03/04/14,13-Jul-13,4-Mar-14,Dinsdag,13340
03/05/14,14-Jul-13,5-Mar-14,Woensdag,14580
03/06/14,15-Jul-13,6-Mar-14,Donderdag,9988
03/07/14,16-Jul-13,7-Mar-14,Vrijdag,11477
03/09/14,17-Jul-13,9-Mar-14,Zondag,715
03/10/14,18-Jul-13,10-Mar-14,Maandag,10878
03/11/14,19-Jul-13,11-Mar-14,Dinsdag,11021
03/12/14,20-Jul-13,12-Mar-14,Woensdag,10819
03/13/14,21-Jul-13,13-Mar-14,Donderdag,9381
03/14/14,22-Jul-13,14-Mar-14,Vrijdag,11419
03/16/14,23-Jul-13,16-Mar-14,Zondag,951
03/17/14,24-Jul-13,17-Mar-14,Maandag,11635
03/18/14,25-Jul-13,18-Mar-14,Dinsdag,11424
03/19/14,26-Jul-13,19-Mar-14,Woensdag,10953
03/20/14,27-Jul-13,20-Mar-14,Donderdag,9624
03/21/14,28-Jul-13,21-Mar-14,Vrijdag,12647
03/23/14,29-Jul-13,23-Mar-14,Zondag,1184
03/24/14,30-Jul-13,24-Mar-14,Maandag,12475
03/25/14,31-Jul-13,25-Mar-14,Dinsdag,13390
03/26/14,1-Aug-13,26-Mar-14,Woensdag,13694
03/27/14,2-Aug-13,27-Mar-14,Donderdag,12268
03/28/14,3-Aug-13,28-Mar-14,Vrijdag,13024
03/30/14,4-Aug-13,30-Mar-14,Zondag,917
03/31/14,5-Aug-13,31-Mar-14,Maandag,16479
04/01/14,6-Aug-13,1-Apr-14,Dinsdag,9787
04/02/14,7-Aug-13,2-Apr-14,Woensdag,10280
04/03/14,8-Aug-13,3-Apr-14,Donderdag,9580
04/04/14,9-Aug-13,4-Apr-14,Vrijdag,11921
04/06/14,10-Aug-13,6-Apr-14,Zondag,935
04/07/14,11-Aug-13,7-Apr-14,Maandag,12177
04/08/14,12-Aug-13,8-Apr-14,Dinsdag,14795
04/09/14,13-Aug-13,9-Apr-14,Woensdag,10969
04/10/14,14-Aug-13,10-Apr-14,Donderdag,9604
04/11/14,15-Aug-13,11-Apr-14,Vrijdag,11048
04/13/14,16-Aug-13,13-Apr-14,Zondag,991
04/14/14,17-Aug-13,14-Apr-14,Maandag,11510
04/15/14,18-Aug-13,15-Apr-14,Dinsdag,11337
04/16/14,19-Aug-13,16-Apr-14,Woensdag,11367
04/17/14,20-Aug-13,17-Apr-14,Donderdag,11245
04/18/14,21-Aug-13,18-Apr-14,Vrijdag,12670
04/20/14,22-Aug-13,20-Apr-14,Zondag,5
04/21/14,23-Aug-13,21-Apr-14,Maandag,8415
04/22/14,24-Aug-13,22-Apr-14,Dinsdag,11363
04/23/14,25-Aug-13,23-Apr-14,Woensdag,11493
04/24/14,26-Aug-13,24-Apr-14,Donderdag,11363
04/25/14,27-Aug-13,25-Apr-14,Vrijdag,8152
04/26/14,28-Aug-13,26-Apr-14,Zaterdag,8
04/27/14,29-Aug-13,27-Apr-14,Zondag,766
04/28/14,30-Aug-13,28-Apr-14,Maandag,11002
04/29/14,31-Aug-13,29-Apr-14,Dinsdag,10923
04/30/14,1-Sep-13,30-Apr-14,Woensdag,10060
05/01/14,2-Sep-13,1-May-14,Donderdag,9890
05/02/14,3-Sep-13,2-May-14,Vrijdag,11131
05/03/14,4-Sep-13,3-May-14,Zaterdag,23
05/04/14,5-Sep-13,4-May-14,Zondag,751
05/05/14,6-Sep-13,5-May-14,Maandag,10092
05/06/14,7-Sep-13,6-May-14,Dinsdag,9510
05/07/14,8-Sep-13,7-May-14,Woensdag,13713
05/08/14,9-Sep-13,8-May-14,Donderdag,16762
05/09/14,10-Sep-13,9-May-14,Vrijdag,41035
05/10/14,11-Sep-13,10-May-14,Zaterdag,9328
05/11/14,12-Sep-13,11-May-14,Zondag,1258
05/12/14,13-Sep-13,12-May-14,Maandag,10674
05/13/14,14-Sep-13,13-May-14,Dinsdag,9954
05/14/14,15-Sep-13,14-May-14,Woensdag,10832
05/15/14,16-Sep-13,15-May-14,Donderdag,9272
05/16/14,17-Sep-13,16-May-14,Vrijdag,9586
05/18/14,18-Sep-13,18-May-14,Zondag,829
05/19/14,19-Sep-13,19-May-14,Maandag,9178
05/20/14,20-Sep-13,20-May-14,Dinsdag,9239
05/21/14,21-Sep-13,21-May-14,Woensdag,9725
05/22/14,22-Sep-13,22-May-14,Donderdag,8974
05/23/14,23-Sep-13,23-May-14,Vrijdag,10527
05/25/14,24-Sep-13,25-May-14,Zondag,879
05/26/14,25-Sep-13,26-May-14,Maandag,13739
05/27/14,26-Sep-13,27-May-14,Dinsdag,12367
05/28/14,27-Sep-13,28-May-14,Woensdag,9411
05/29/14,28-Sep-13,29-May-14,Donderdag,308
05/30/14,29-Sep-13,30-May-14,Vrijdag,9476
06/01/14,30-Sep-13,1-Jun-14,Zondag,776
06/02/14,1-Oct-13,2-Jun-14,Maandag,8506
06/03/14,2-Oct-13,3-Jun-14,Dinsdag,9562
