Date,Target,Weekday,Avg temp,Sunshine_minutes,Rain_minutes,Voucher orders,Traffic,SEA Cost,SEA Clicks,Emails accepted,Emails open,Spc dag pos aanloop,Spc dag pos,Spc dag neg
06-01-14,29579,maandag,11,60,174,9060,22538,3435.95,7964,19413,5319,,,
07-01-14,20759,dinsdag,11,24,0,18818,44511,3292.02,8191,1144206,276657,,,
08-01-14,19302,woensdag,9,96,186,8006,22969,3393.17,7614,,,,,
09-01-14,14556,donderdag,9,12,138,7228,19823,3064.45,7114,,,,,
10-01-14,17322,vrijdag,7,312,0,6721,17460,2755.37,6375,319,239,,,
11-01-14,2,zaterdag,5,120,36,3566,13106,2371.7,5176,,,,,
12-01-14,2864,zondag,2,384,0,6323,17850,3049.91,7191,,,,,
13-01-14,26514,maandag,6,276,24,9012,22664,3608.76,8373,61662,19111,,,
14-01-14,16267,dinsdag,5,12,180,9772,35019,3303.79,7810,1095022,296887,,,
15-01-14,16331,woensdag,5,0,402,10012,27845,3411.57,8481,,,,,
16-01-14,16167,donderdag,8,0,240,8508,23302,3128.64,7633,,,,,
17-01-14,18609,vrijdag,7,0,354,7787,19634,2811.85,6979,,,,,
18-01-14,,zaterdag,7,222,0,4004,14436,2308.35,5511,,,,,
19-01-14,3078,zondag,6,108,0,7492,19643,3044.43,7618,,,,,
20-01-14,28131,maandag,4,0,42,10268,24895,3701.31,8977,64448,20181,,,
21-01-14,17097,dinsdag,4,0,0,12301,36559,3463.72,8393,1069445,282854,,,
22-01-14,17347,woensdag,3,198,0,10879,25533,3133.22,7901,,,,,
23-01-14,17547,donderdag,3,0,450,9910,22815,3003.69,7701,,,,,
24-01-14,19897,vrijdag,5,0,84,8942,20558,2856.41,7278,,,,,
25-01-14,,zaterdag,4,30,258,4954,15463,2504.74,5941,,,,,
26-01-14,3258,zondag,5,60,384,8914,20672,3169.19,7927,,,,,
27-01-14,32752,maandag,4,114,120,15119,38702,3786.78,9600,1088669,284861,,,
28-01-14,19604,dinsdag,5,252,0,12301,29219,3313.18,8654,,,,,
29-01-14,19106,woensdag,0,264,0,12093,26578,3266.25,8802,,,,,
30-01-14,16379,donderdag,1,228,0,8057,16548,2194.98,6585,,,,,
31-01-14,20879,vrijdag,3,444,90,9543,22087,2701.5,7223,,,,,
01-02-14,,zaterdag,6,36,576,4916,16562,2503.15,6269,,,,,
02-02-14,3102,zondag,5,312,0,8635,21291,3265.32,8095,,,,,
03-02-14,31987,maandag,4,480,0,12230,28722,4082.86,10265,59874,18118,,,
